Player,Status,Pos,fg_pct,avg_dist,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,AST,STL,BLK,TOV,PF,PTS,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
Marcelo Huertas,Active,PG,0.409,13.1,5.5,13.4,0.9,3.6,4.6,9.8,1.6,2.1,0.783,10.6,1.6,0.4,4.5,4.1,13.5,0.471,0.154,1.9,9.5,5.6,33.2,1.6,0.6,23.7
Marcin Gortat,Active,C,0.556,5.8,8.6,15.4,0,0.1,8.6,15.4,2.8,4.2,0.679,2,1,2.3,2.3,4.3,20,0.579,0.272,9.6,25.5,17.6,6.2,1,3.5,11.8
Marco Belinelli,Active,SG,0.425,17.9,7.6,17.9,2.9,7.8,4.7,10.1,3.3,3.9,0.832,3.7,1.3,0.2,2.3,3.3,21.5,0.545,0.22,1.1,8.9,5.1,11.3,1.3,0.2,10.5
Marcus Camby,Inactive,C,0.468,8.2,6.8,14.6,0,0.2,6.8,14.5,3.1,4.6,0.67,3.3,1.8,4.2,2.5,4.9,16.8,0.503,0.316,10.5,27.9,19.2,10.1,1.8,6.1,12.9
Marcus Morris,Active,SF,0.428,16.2,7.8,18.2,2.4,6.8,5.4,11.4,2.8,3.9,0.717,3,1.4,0.5,2.2,3.9,20.8,0.522,0.216,4.1,14,8.9,9.2,1.4,0.7,9.9
Marcus Smart,Active,PG,0.358,15.9,5.3,14.8,2.1,7.1,3.2,7.7,3.5,4.6,0.762,6.4,2.7,0.6,2.8,4.6,16.1,0.48,0.309,4,10.6,7.3,18.5,2.7,1,14.2
Marcus Thornton,Active,SG,0.425,15.2,9.6,22.6,3.3,9.3,6.3,13.3,3.5,4.2,0.83,3.1,1.8,0.3,2.2,3.3,25.9,0.531,0.185,4,9.7,6.8,10.1,1.8,0.4,8.3
Mario Chalmers,Inactive,PG,0.421,15.5,5.9,14,2.3,6.6,3.6,7.5,3.3,4.2,0.786,7.4,2.9,0.3,3.6,5.3,17.5,0.55,0.302,1.5,9.1,5.4,21.5,2.9,0.5,18.6
Mario Hezonja,Active,SF,0.398,17.2,6.3,15.7,2.3,7.1,3.9,8.7,1.9,2.2,0.856,3.6,1.4,0.7,3.3,4.2,16.7,0.501,0.139,2.2,13,7.5,10.6,1.4,1.1,16.3
Markel Brown,Inactive,SG,0.382,14.2,5.9,15.4,1.6,5.4,4.3,10,3.4,4.4,0.781,3.8,2,0.8,2.3,4.4,16.7,0.484,0.284,2.5,12.2,7.3,11.1,2,1.2,11.9
Markieff Morris,Active,PF,0.447,12.4,8.8,19.7,1.3,3.8,7.5,15.9,3.8,4.9,0.774,3.2,1.8,1.2,3.2,5.5,22.6,0.518,0.249,5.9,17.9,11.9,10.3,1.8,1.8,12.8
Marquese Chriss,Active,PF,0.449,11.8,7.8,17.4,2,6.2,5.8,11.2,3.1,5,0.624,1.6,1.8,1.9,3,7.2,20.7,0.529,0.286,5.8,16.1,10.8,5.2,1.8,3.2,13.2
Marquis Daniels,Inactive,SG,0.451,9.1,7.8,17.3,0.5,1.9,7.4,15.4,3,4.1,0.721,4.3,2.2,0.6,2.8,3.9,19,0.497,0.237,5,10,7.5,13.2,2.2,0.9,12.9
