Player,Status,Pos,fg_pct,avg_dist,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,AST,STL,BLK,TOV,PF,PTS,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%
Omri Casspi,Active,SF,0.443,13,7.1,16.1,2.2,6,4.9,10.1,2.9,4.4,0.675,2.8,1.5,0.5,2.5,3.8,19.4,0.539,0.271,4.5,17,10.7,8.6,1.5,0.8,12.3
Orlando Johnson,Inactive,SG,0.358,15.7,5.5,15.4,2.2,7.1,3.3,8.3,2.3,3.1,0.727,3.2,0.9,0.7,2.3,4,15.5,0.462,0.202,3.4,14.4,9,9.9,0.9,1,11.9
Otto Porter,Active,SF,0.481,15.5,7.2,15,2.1,5.5,5.1,9.5,1.9,2.5,0.774,2.4,2,0.8,1.3,3.6,18.5,0.574,0.168,5.2,14.9,10,7,2,1.3,7.7
P.J. Hairston,Inactive,SF,0.343,18,5.9,17.2,3,10.3,2.9,6.9,2.1,2.5,0.81,1.5,1.3,0.6,1.6,5,16.9,0.46,0.148,2.5,12.4,7.3,4.6,1.4,1,8
P.J. Tucker,Active,SF,0.432,12,5.1,11.7,1.4,3.9,3.7,7.8,2.2,2.9,0.751,2.8,2.1,0.4,1.9,4,13.7,0.527,0.248,6.6,16.2,11.3,8.1,2.1,0.7,12.8
Pablo Prigioni,Inactive,PG,0.425,19.7,3.8,9,2.3,6.1,1.5,2.9,0.9,1,0.872,8.8,3.1,0.1,2.9,4.9,10.8,0.574,0.109,3.6,9.2,6.3,24.4,3.1,0.1,23.8
Pascal Siakam,Active,PF,0.502,7,6.1,12.1,0.1,0.4,6,11.7,1.3,1.9,0.688,1,1.5,2.7,1.9,6.4,13.5,0.523,0.156,8.4,15.9,12.2,2.9,1.5,4.5,13.1
Pat Connaughton,Active,SG,0.413,14.4,5.4,13.1,2.4,5.9,3,7.3,1.3,1.5,0.857,4.1,0.9,0.2,2.9,3.1,14.5,0.527,0.116,5,15.2,10.1,11.8,0.9,0.3,17.5
Patrick Beverley,Active,PG,0.414,16.1,5.7,13.9,2.8,7.5,2.9,6.3,1.8,2.3,0.764,5.8,2.2,0.7,2.3,5.3,16.1,0.54,0.165,4.8,11,7.9,17.5,2.2,1.1,13.3
Patrick McCaw,Active,SG,0.433,15.4,4.7,11,1.8,5.5,2.9,5.5,1.3,1.7,0.784,3.4,1.4,0.7,1.6,2.8,12.6,0.54,0.151,2.3,7.6,5.1,9,1.4,1.1,12.1
Patrick Patterson,Active,PF,0.459,14.5,6.8,14.8,1.8,5,5,9.8,1.4,1.8,0.744,2.6,1.3,1.1,1.6,4,16.8,0.538,0.123,7,15.4,11.2,7.8,1.3,1.7,9.4
Patty Mills,Active,PG,0.436,18.3,8.9,20.3,4.1,10.3,4.8,10,2,2.4,0.833,6.6,1.9,0.2,2.8,3.6,23.8,0.557,0.118,2.2,7.9,5.1,20,1.9,0.3,11.5
Pau Gasol,Active,C,0.51,7.7,10.2,20.1,0.2,0.5,10.1,19.6,6.1,8.1,0.754,4.9,0.8,2.5,3.4,3.3,26.7,0.566,0.404,8.6,21.7,15.3,16.5,0.8,3.5,12.5
Paul George,Active,SF,0.432,15.8,9.7,22.4,3.1,8.5,6.6,14,5.7,6.8,0.85,5,2.6,0.7,4,4.2,28.3,0.556,0.301,3,18.1,10.7,16.9,2.6,1,13.6
Paul Millsap,Active,PF,0.493,8.9,9.3,18.9,0.7,2.1,8.6,16.8,5.4,7.3,0.736,4,2.3,1.8,3.2,5.5,24.7,0.558,0.386,9.1,20.3,14.7,13,2.3,2.8,12.5
Paul Pierce,Active,SF,0.446,14.3,9.8,22.1,2.4,6.6,7.4,15.5,7.9,9.7,0.806,5.3,2,0.8,4,4.1,30,0.568,0.441,2.8,16.2,9.6,18.7,2,1.3,13.2
Paul Zipser,Active,SF,0.398,16.5,5.3,13.2,2,5.9,3.3,7.3,1.9,2.4,0.775,2.2,0.9,1,2.4,4.7,14.3,0.503,0.181,1.9,14.2,8,6.1,0.9,1.5,14.4
Pero Antic,Inactive,C,0.392,17.6,6,15.3,2.8,8.9,3.2,6.4,3.6,4.9,0.73,2.8,1,0.7,2.7,6.7,18.4,0.526,0.32,6.9,16.3,11.7,8.3,1,1.1,13.4
Perry Jones,Inactive,SF,0.42,12.9,5.9,14,1.1,3.7,4.8,10.3,1.9,2.8,0.66,1.6,1.1,1,1.8,4.1,14.7,0.483,0.203,3.3,13.1,8.4,4.7,1.1,1.6,10.6
Phil Pressey,Inactive,PG,0.341,14.6,4.3,12.7,1.2,4.8,3.1,7.9,1.9,3,0.63,10.9,2.9,0.4,4,4.5,11.7,0.419,0.236,1.9,10.2,6,31.4,2.9,0.6,22.4
Quentin Richardson,Inactive,SF,0.397,15.1,7.4,18.5,2.9,8.3,4.4,10.2,2.6,3.6,0.718,2.9,1.5,0.4,2.2,3.8,20.2,0.503,0.193,5.2,14.9,10.1,9,1.5,0.5,9.8
Quincy Acy,Active,PF,0.482,11.6,5.8,12,1,2.8,4.8,9.2,3.1,4.1,0.75,2,1.4,1.3,2,6.4,15.7,0.567,0.339,7.6,18.4,12.9,6.1,1.4,2.1,12.7
Quincy Miller,Inactive,PF,0.35,14.1,5.6,16.1,1.7,6,3.9,10.2,2.5,3.6,0.706,2,1.6,2,2.8,4.3,15.6,0.439,0.222,4.7,14.9,9.8,5.8,1.6,2.9,13.8
Quincy Pondexter,Inactive,SF,0.424,14.9,5.6,13.1,2.1,5.8,3.4,7.3,2.2,3,0.732,2.4,1.1,0.5,1.6,4.4,15.5,0.535,0.228,4.2,9,6.6,6.9,1.1,0.7,10.1
Rajon Rondo,Active,PG,0.463,9.5,7.1,15.4,0.5,1.8,6.6,13.6,2.3,3.7,0.606,13.6,2.9,0.2,4.6,3.6,17.1,0.5,0.242,4.1,13.3,8.8,41.5,2.9,0.3,21.4
Ramon Sessions,Active,PG,0.436,9,7.7,17.7,0.7,2.1,7.1,15.6,6.8,8.6,0.792,8.9,1.5,0.2,3.7,3,22.8,0.533,0.484,2.4,10.9,6.5,28.8,1.5,0.3,14.8
Randy Foye,Active,SG,0.401,17.1,7.2,18,2.9,8,4.3,9.9,3.2,3.8,0.852,5.6,1.4,0.6,2.9,4.2,20.6,0.524,0.212,1.5,8.6,5,17.5,1.4,0.9,13
Rashad Vaughn,Active,SG,0.327,17.2,4.8,14.7,2.4,8,2.4,6.8,0.5,0.7,0.7,2.2,1.7,0.9,1.5,3.7,12.5,0.417,0.047,1.2,9.5,5.4,6.1,1.7,1.5,8.9
Rashard Lewis,Inactive,SF,0.451,14.9,8.9,19.6,2.8,7.3,6.1,12.3,3.9,4.9,0.805,2.8,1.8,0.9,2.5,3.8,24.5,0.563,0.249,5,13.9,9.5,8.9,1.8,1.2,10.2
Rasheed Wallace,Inactive,PF,0.447,14.5,9.4,20.2,1.6,4.8,7.8,15.3,3.4,4.7,0.721,3,1.6,2.2,2.5,4.9,23.8,0.536,0.234,5.2,18.8,12.1,9.6,1.6,3,10.2
Rasual Butler,Inactive,SF,0.403,17.8,7.1,17.5,2.8,7.8,4.3,9.8,1.8,2.5,0.747,2,0.9,1.3,1.6,3.5,18.8,0.505,0.14,2,11.1,6.6,6.3,0.9,1.9,8
Raul Neto,Active,PG,0.434,14.1,6.3,14.5,2.1,5.5,4.2,9,1.7,2.3,0.759,5.9,2.4,0.2,3.5,4.9,16.4,0.53,0.155,1.3,8.1,4.7,18,2.4,0.3,18.6
Ray Allen,Inactive,SG,0.455,16.3,9.8,21.7,3.4,8.5,6.4,13.2,5,5.6,0.894,5,1.7,0.3,3.1,3.3,28,0.58,0.26,3.2,10.3,6.8,16.5,1.7,0.4,11.4
Ray McCallum,Inactive,PG,0.408,12.9,6.7,16.5,1.3,3.8,5.5,12.7,1.8,2.6,0.711,6.6,1.4,0.5,2.7,3.4,16.6,0.47,0.155,3.2,9.1,6.2,20.7,1.4,0.8,13.1
Raymond Felton,Active,PG,0.413,13.8,7.4,17.9,1.6,4.9,5.8,13,3.2,4.1,0.788,9.3,2.1,0.4,3.7,3.4,19.5,0.497,0.228,2.2,9.4,5.8,29.3,2.1,0.6,15.8
Reggie Bullock,Active,SF,0.393,18.4,5.1,12.9,2.7,7.6,2.4,5.3,1,1.2,0.8,2.4,1.5,0.3,1.2,3,13.8,0.514,0.096,2.6,13.5,8,6.6,1.5,0.5,8.2
Reggie Evans,Inactive,PF,0.465,3,3.8,8.1,0,0,3.8,8,3.6,6.9,0.528,1.6,1.9,0.4,3,6.4,11.2,0.502,0.856,15,28.7,21.9,4.3,1.9,0.6,21.5
Reggie Jackson,Active,PG,0.431,12.7,9.5,22.1,1.9,6,7.6,16.1,4.2,4.9,0.86,9,1.5,0.2,4,3.8,25.2,0.519,0.222,2.4,11.2,6.9,29.6,1.5,0.4,14.1
Reggie Williams,Active,SF,0.456,15.6,8.1,17.8,2.7,7.4,5.4,10.4,2.7,3.6,0.75,4.1,1.2,0.2,1.9,3.3,21.6,0.558,0.204,3.1,12,7.5,13,1.2,0.3,9
Richard Hamilton,Inactive,SG,0.451,12.8,11,24.4,1,2.8,10,21.6,6,7,0.852,5.7,1.3,0.2,3.6,4.3,28.9,0.525,0.286,3.1,8.3,5.7,19.9,1.3,0.3,11.7
Richard Jefferson,Active,SF,0.464,12.7,7.9,17,1.6,4.2,6.3,12.7,5.5,7.1,0.768,3.7,1.2,0.5,2.7,4,22.8,0.567,0.418,3.1,12.9,8,12,1.2,0.8,11.9
Richaun Holmes,Active,C,0.543,8.3,8.9,16.3,0.9,3.1,8,13.2,3.2,4.6,0.695,2.3,1.6,2.4,2.2,5.9,21.8,0.594,0.279,8.9,17,12.9,8.2,1.6,3.9,10.9
Ricky Rubio,Active,PG,0.375,14.3,5.1,13.6,1.1,3.4,4.1,10.2,5.1,6.2,0.83,13.5,3.4,0.2,4.4,4.1,16.5,0.503,0.454,2.5,12.8,7.6,39.2,3.4,0.3,21.2
Robbie Hummel,Inactive,SF,0.418,17.9,5.2,12.5,1.7,5,3.5,7.5,1.4,1.6,0.867,1.8,1.1,0.4,1,5.1,13.6,0.514,0.129,5.1,16.5,10.6,5.3,1.1,0.6,7.1
Robert Covington,Active,SF,0.393,17.4,7.1,18.1,3.9,11.1,3.2,7.1,3.8,4.7,0.812,2.5,2.7,1.1,3.3,5.1,22,0.544,0.257,4,17.8,10.7,8.5,2.7,1.8,14.1
Robert Sacre,Inactive,C,0.436,8.8,5.8,13.3,0,0,5.8,13.3,2.7,4.1,0.671,2.3,1,2,1.9,6.1,14.3,0.475,0.309,8.2,15.3,11.7,7,1,3.1,11
Robin Lopez,Active,C,0.526,5.8,8.1,15.3,0,0,8.1,15.3,3.5,4.6,0.761,1.5,0.6,2.8,2.3,4.7,19.6,0.565,0.297,12.3,14.4,13.4,4.8,0.6,4.2,11.8
Rodney Hood,Active,SG,0.415,16.4,8.5,20.4,3.4,9.4,5.1,11,3.3,4,0.818,4,1.4,0.4,2.4,4.6,23.6,0.533,0.196,1.4,11.5,6.5,12.9,1.4,0.6,9.7
Rodney McGruder,Active,SG,0.413,15.2,4.9,11.8,1.9,5.6,3,6.2,1.1,1.8,0.62,3.2,1.2,0.5,1.4,3.6,12.7,0.506,0.154,5.2,9.2,7.2,8.8,1.2,0.7,10.2
Rodney Stuckey,Active,PG,0.423,10.9,8.6,20.3,0.8,2.7,7.8,17.6,6.2,7.5,0.824,6.9,1.7,0.3,3.5,4,24.2,0.512,0.371,2.7,9.9,6.2,21.9,1.7,0.4,12.9
Rodrigue Beaubois,Inactive,PG,0.439,14,9,20.6,2.3,7.1,6.7,13.4,2.8,3.4,0.81,6.7,2.2,0.9,3.7,5.6,23.1,0.524,0.165,1.9,11.2,6.6,21.5,2.2,1.4,14.3
Roger Mason,Inactive,SG,0.408,20,7,17.1,3.5,9,3.5,8.1,1.8,2,0.866,3.9,1.1,0.4,2.2,4.1,19.1,0.533,0.119,1,10.5,5.8,11.7,1.1,0.6,10.7
Ron Baker,Active,SG,0.378,14.3,4.8,12.7,1.3,5,3.4,7.6,1.6,2.5,0.651,6.2,2,0.5,3.3,4.3,12.5,0.456,0.198,1.5,10.8,6.2,17.3,2,0.8,19.2
Rondae Hollis-Jefferson,Active,SF,0.438,8.2,6,13.8,0.4,1.6,5.7,12.1,4.6,6.2,0.744,4,2.5,1.2,2.9,4.8,17.1,0.517,0.449,6.1,21.2,13.7,12.6,2.5,1.9,14.9
Ronnie Brewer,Inactive,SF,0.49,10,7,14.3,0.4,1.6,6.6,12.7,3.4,5,0.675,3.7,2.8,0.5,1.8,2.5,17.8,0.539,0.347,4.7,9.8,7.3,10.9,2.8,0.8,9.6
Ronnie Price,Active,PG,0.373,15.8,5.2,13.8,1.7,5.7,3.5,8.2,2.1,2.8,0.738,6.7,3,0.4,3.3,6.4,14.1,0.467,0.202,2.8,7.7,5.2,19.3,3,0.6,18.1
Ronny Turiaf,Inactive,C,0.533,6.8,5.3,10,0,0,5.3,10,3.1,4.9,0.636,3.9,1.1,3.7,2.2,7,13.8,0.566,0.487,7.4,17.3,12.4,11,1.1,5.4,15.5
Roy Hibbert,Active,C,0.465,7.2,8.2,17.6,0,0.1,8.2,17.6,4.3,5.6,0.755,2.8,0.8,3.6,3.2,6.5,20.7,0.514,0.319,10.4,17.8,14.1,9.2,0.8,5.3,13.9
Royal Ivey,Inactive,SG,0.406,14.2,5.3,13.1,1.4,3.8,3.9,9.3,2,2.9,0.706,4.3,2,0.3,2.2,6.5,14,0.489,0.218,2.7,8,5.3,12.6,2,0.5,13.2
Rudy Gay,Active,SF,0.452,12.4,10.1,22.2,1.5,4.4,8.5,17.8,4.9,6.2,0.796,3.3,1.9,1.2,3.5,3.6,26.6,0.532,0.279,4.8,14.5,9.6,11.2,1.9,1.8,12.2
Rudy Gobert,Active,C,0.612,1.8,6.6,10.7,0,0,6.6,10.7,4.9,8,0.614,2.2,1.2,4.2,2.9,4.6,18,0.633,0.741,13.5,28.3,21,6.7,1.2,6.5,17.1
Russell Westbrook,Active,PG,0.433,11.4,11.7,26.9,1.6,5,10.1,21.9,8.8,10.8,0.823,11.8,2.6,0.4,5.8,3.6,33.8,0.533,0.399,5.7,14.5,10.2,41.5,2.6,0.7,15.6
Ryan Anderson,Active,PF,0.422,16.8,8.9,21.1,4.2,11,4.7,10.1,3.8,4.4,0.861,1.8,1.1,0.7,1.9,3.9,25.8,0.56,0.21,8.8,14.9,11.8,5.8,1.1,1.1,7.8
Ryan Gomes,Inactive,SF,0.445,14.2,7.3,16.4,1.3,3.7,6,12.7,3.1,3.9,0.799,2.7,1.4,0.3,2.1,3.6,19,0.525,0.239,5.3,14.3,9.7,8.6,1.4,0.4,10.5
Ryan Hollins,Inactive,C,0.584,4.8,5.8,9.9,0,0,5.8,9.9,4.5,7,0.649,1.3,0.8,2.3,3.2,8.7,16,0.62,0.705,8.5,12.8,10.7,3.8,0.8,3.5,19.9
Ryan Kelly,Active,PF,0.378,15,5.2,13.7,1.6,5.2,3.5,8.5,3.7,4.6,0.797,3.4,1.3,1.3,1.7,4.9,15.6,0.498,0.338,2.6,15.1,8.7,10.2,1.3,2,9.7
Salah Mejri,Active,C,0.637,3.1,5.4,8.5,0,0.2,5.4,8.4,2.5,4.2,0.589,1,1.6,3.9,2.5,8.2,13.4,0.645,0.498,11.7,26.7,18.9,2.8,1.6,6.5,19.4
Sam Dekker,Active,SF,0.473,12.6,6.8,14.5,2,6.3,4.8,8.2,1.3,2.3,0.559,2.6,1.3,0.7,1.4,2.8,17,0.549,0.159,7.2,14.6,10.9,7.7,1.3,1.2,8.2
Sam Young,Inactive,SF,0.442,10.7,7.4,16.7,0.6,2.3,6.7,14.4,3.5,4.7,0.742,2.4,1.8,0.7,2.7,4.1,18.9,0.504,0.284,4.8,12,8.4,7,1.8,1.1,12.5
Samardo Samuels,Inactive,C,0.445,6.9,7.2,16.1,0,0.1,7.2,16,5,7.6,0.653,1.4,1.1,1.2,3.5,7,19.3,0.497,0.472,9.5,15,12.2,4.4,1.2,1.8,15.2
Samuel Dalembert,Inactive,C,0.521,5.8,6.8,13,0,0,6.8,13,2.9,4.1,0.706,1.1,1.1,3.7,3.1,6.3,16.5,0.555,0.313,12.2,25.3,18.7,3.4,1.1,5.6,17.2
Sasha Pavlovic,Inactive,SG,0.404,14.4,6.4,15.9,1.8,5.3,4.6,10.5,2,3,0.673,3.1,1.6,0.6,2.8,6.1,16.7,0.485,0.19,2.5,10.8,6.6,9.4,1.6,0.9,13.8
Sasha Vujacic,Active,SG,0.39,20,6.2,16,3.1,8.4,3.1,7.6,2.4,2.8,0.858,4.3,2,0.2,1.9,5.1,18,0.521,0.174,2.6,11.3,7,12.8,1.9,0.3,10
Sean Kilpatrick,Active,SG,0.424,14.7,8.6,20.2,2.9,8.6,5.7,11.6,5.3,6.2,0.856,3.8,1.2,0.2,3.3,3.1,25.4,0.553,0.305,1.6,13.3,7.5,12.8,1.2,0.3,12.6
Sebastian Telfair,Inactive,PG,0.39,14.6,6.7,17.1,1.6,4.9,5.1,12.2,3.2,4.1,0.777,8.5,1.8,0.3,3.7,5.2,18,0.478,0.24,1.4,7.2,4.3,25.8,1.8,0.5,16.4
Semaj Christon,Active,PG,0.345,14.1,3.9,11.2,0.6,3.2,3.3,8.1,0.9,1.6,0.548,6.6,1.4,0.4,2.2,4,9.2,0.387,0.139,2.2,7.8,4.9,18.1,1.4,0.6,15.4
Serge Ibaka,Active,PF,0.516,11.6,8.8,17,0.9,2.4,7.9,14.6,2.5,3.3,0.757,1.1,0.8,4.1,2.2,4.9,20.9,0.567,0.194,9.4,18.7,14.2,3.5,0.8,6.2,10.9
Sergey Karasev,Inactive,SF,0.395,15.9,4.4,11.2,1.4,5.1,3,6.1,3,3.5,0.842,4,1.5,0.2,2.6,4.3,13.2,0.519,0.313,3,11.2,7.1,11.3,1.5,0.3,17.1
Sergio Rodriguez,Active,PG,0.409,14.8,6.7,16.3,2,5.9,4.7,10.4,1.9,2.6,0.739,11.7,2.1,0.1,4.9,4.4,17.3,0.495,0.158,2.7,9,5.8,35.4,2.1,0.2,21.8
Seth Curry,Active,PG,0.473,17.4,8.2,17.3,3.5,8.1,4.7,9.3,2.4,2.9,0.844,4.8,1.9,0.2,2.4,3.1,22.3,0.6,0.165,1.4,9,5,15.4,1.9,0.3,11.3
Shabazz Muhammad,Active,SF,0.476,9.7,9.9,20.9,1.3,4.2,8.6,16.7,5.4,7.2,0.749,1.6,0.8,0.2,2.1,2.9,26.6,0.553,0.343,7.1,11.3,9.2,5.4,0.8,0.4,7.9
Shabazz Napier,Active,PG,0.373,18.3,5.5,14.8,2.7,7.6,2.8,7.2,2.8,3.6,0.767,7.1,2.3,0.2,4.1,3.7,16.4,0.503,0.245,1.9,10.5,6.2,20.7,2.3,0.3,19.9
Shane Battier,Inactive,SF,0.437,15.5,5.3,12,2.2,5.7,3.1,6.3,2.1,2.8,0.743,3,1.7,1.6,1.5,3.9,14.8,0.559,0.236,5,10.8,7.9,8.8,1.7,2.3,10.4
Shane Larkin,Inactive,PG,0.43,12.8,5.8,13.4,1.1,3.3,4.7,10.2,2,2.6,0.762,8,2.7,0.3,3.4,4,14.7,0.502,0.196,1.9,9.4,5.5,23.7,2.7,0.4,18.7
Shannon Brown,Inactive,SG,0.42,14.9,8.5,20.3,2,5.9,6.6,14.4,3.2,3.9,0.807,3.3,2,0.6,2.7,3.8,22.2,0.503,0.194,2.8,9,5.9,10.2,2,0.9,10.9
Shaun Livingston,Active,PG,0.483,9.7,6.3,13.1,0,0.2,6.3,12.9,2.8,3.6,0.793,7.6,1.8,0.9,3.2,4.4,15.6,0.529,0.271,3.2,9.9,6.6,22.6,1.8,1.4,17.8
Shavlik Randolph,Inactive,PF,0.449,3.5,5.6,12.4,0,0.3,5.5,12.1,3.5,6.4,0.544,1.6,1.9,1.6,2.5,8.3,14.7,0.482,0.519,14.8,20.5,17.7,4.6,1.9,2.4,14.3
Shawn Marion,Inactive,SF,0.485,9.9,9.4,19.3,1,3.1,8.3,16.3,3,3.7,0.81,2.8,2.3,1.6,2.2,3.3,22.7,0.542,0.191,7.8,20.5,14.3,9.1,2.3,2.2,9.7
Shawne Williams,Inactive,SF,0.403,17,6.1,15.2,2.6,7.7,3.5,7.6,1.8,2.4,0.755,2.1,1.2,1.5,1.9,6.2,16.7,0.513,0.159,5.2,14.8,9.9,6.4,1.2,2.2,10.2
Shelvin Mack,Active,PG,0.426,13.9,7.4,17.3,1.9,5.8,5.5,11.5,2.1,2.8,0.748,8.6,1.8,0.1,3.6,3.5,18.7,0.505,0.164,1.5,10.7,6.2,26.8,1.8,0.2,16.3
Solomon Hill,Active,SF,0.4,13.9,4.7,11.7,1.7,4.9,3,6.7,2.6,3.2,0.822,3.4,1.5,0.5,2.1,3.8,13.6,0.52,0.272,3.2,12.2,7.7,9.9,1.5,0.9,13.8
Solomon Jones,Inactive,PF,0.467,7.2,5.1,10.9,0,0.2,5,10.7,4,5.5,0.717,1.7,1,2.6,2.7,9.3,14.1,0.531,0.51,9.6,14.8,12.2,4.9,1,3.8,16.9
Sonny Weems,Inactive,SG,0.465,12.5,7.9,17,0.5,1.8,7.4,15.1,1.9,2.8,0.702,3.9,1.3,0.4,3,4.1,18.2,0.501,0.164,3.1,11,7.1,12,1.3,0.6,14.3
Spencer Dinwiddie,Active,PG,0.389,13.8,5.1,13.1,1.3,4.4,3.8,8.7,4.4,5.6,0.779,7.8,1.6,0.7,2.6,4.8,15.8,0.508,0.43,1.9,10.7,6.3,23.7,1.7,1.1,14.5
Spencer Hawes,Active,C,0.457,11.3,8.1,17.6,1.2,3.4,6.9,14.3,2.2,3.1,0.716,4.2,0.9,2.1,3.2,5.6,19.5,0.514,0.175,7.2,21.4,14.2,13.2,0.9,3.3,14.4
Stanley Johnson,Active,SF,0.367,14.7,5.8,15.9,1.8,5.9,4.1,10,1.9,2.6,0.748,3.7,1.8,0.6,3.1,4.9,15.4,0.451,0.161,3.2,14.9,8.8,10.6,1.8,1,15.2
Stephen Curry,Active,PG,0.476,17.6,11.4,23.9,4.7,10.8,6.6,13,4.9,5.5,0.901,9.7,2.5,0.3,4.5,3.6,32.4,0.616,0.229,2.3,11.3,6.9,32.4,2.5,0.5,14.6
Stephen Jackson,Inactive,SF,0.414,14.5,8.7,21,2.4,7.1,6.3,13.9,4.8,6,0.798,5,2.1,0.6,4.1,3.9,24.6,0.519,0.284,2.8,11.1,7,16.4,2.1,0.9,14.6
Steve Blake,Inactive,PG,0.401,20.1,5.2,13,2.6,6.8,2.6,6.1,1.3,1.6,0.779,8.7,1.5,0.2,3.1,3.2,14.3,0.521,0.126,1.4,8.6,5,25.1,1.5,0.2,18.4
Steve Nash,Inactive,PG,0.497,14.8,8.5,17.2,2.3,5.3,6.2,12,4.1,4.5,0.904,13.8,1.2,0.1,4.7,2.7,23.3,0.605,0.262,1.9,8.6,5.4,41.5,1.2,0.2,19.5
Steve Novak,Active,SF,0.437,23.5,7,15.9,5.3,12.4,1.6,3.5,0.9,1.1,0.877,1.2,0.8,0.4,0.8,3.4,20.2,0.616,0.066,1.4,10.9,6,3.8,0.8,0.5,4.4
Steven Adams,Active,C,0.568,3.2,6.4,11.2,0,0,6.4,11.2,3.1,5.4,0.571,1.7,1.4,2.1,2.7,5.7,15.8,0.582,0.477,12.9,16.8,14.9,5.1,1.4,3.3,16.6
T.J. McConnell,Active,PG,0.465,10.7,5.9,12.7,0.5,1.9,5.4,10.9,1.3,1.7,0.756,11.8,3,0.3,3.9,3.3,13.7,0.507,0.134,2.4,12.5,7.3,37.4,3,0.4,22.4
T.J. Warren,Active,SF,0.502,10.4,9.6,19.1,0.8,2.5,8.8,16.6,2.3,3.1,0.751,1.9,1.7,0.8,1.5,4.2,22.2,0.544,0.161,6.4,10.4,8.3,6.4,1.7,1.4,6.9
Taj Gibson,Active,PF,0.495,7.4,8.1,16.3,0,0.1,8,16.2,3.3,4.8,0.694,2,1.1,2.5,2.6,5.3,19.5,0.529,0.296,10.6,17.4,14,6.5,1.1,3.6,12.4
Tarik Black,Active,C,0.542,3.3,6.5,12,0,0.1,6.5,12,3,4.9,0.61,1.7,1.1,1.5,2.3,7.3,16,0.566,0.405,12.6,21.8,17.1,5.4,1.1,2.5,13.9
Taurean Waller-Prince,Active,SF,0.4,12.4,5.7,14.3,1.7,5.1,4.1,9.2,3.7,4.7,0.787,2.8,2.2,1.4,3.1,4.8,16.8,0.513,0.33,2.8,14.6,8.8,8.4,2.2,2.4,15.7
Tayshaun Prince,Inactive,SF,0.455,12.3,7.9,17.3,1,2.7,6.9,14.6,2.6,3.5,0.756,4.1,1,0.9,1.8,2.1,19.4,0.513,0.202,4.2,12.2,8.1,12.8,1,1.2,8.8
Terrel Harris,Inactive,SG,0.3,13.6,3.8,12.8,0.9,5.5,2.9,7.3,2.4,3.6,0.677,4.1,1.3,0.6,4.9,5.9,11.1,0.384,0.282,6.1,14.2,10.1,11.2,1.3,0.9,25.4
Terrence Jones,Active,PF,0.501,7.8,8.8,17.5,0.8,2.8,7.9,14.7,3.3,5.3,0.622,2.1,1.3,2.4,1.9,3.5,21.6,0.546,0.301,8,18.1,13.1,7,1.3,3.8,8.9
Terrence Ross,Active,SF,0.423,18.4,7.9,18.7,3.6,9.7,4.3,9,1.5,1.9,0.803,2,1.7,0.7,1.8,4,21,0.536,0.101,1.9,10.8,6.4,6.4,1.7,1.1,8.4
Terrence Williams,Inactive,SG,0.412,11.7,7.8,19,1,3.3,6.8,15.7,2.7,4.2,0.659,6.5,1.5,0.3,4,3.6,19.4,0.466,0.219,2.5,19.5,10.7,21.5,1.5,0.5,16
Terry Rozier,Active,PG,0.348,15,5.7,16.2,2,6.5,3.7,9.8,1.9,2.4,0.776,5.3,1.6,0.4,2.1,2.9,15.1,0.438,0.147,4.5,15.8,10.2,15.5,1.6,0.6,10.7
Thabo Sefolosha,Active,SG,0.446,13.2,5,11.2,1.3,3.7,3.7,7.5,1.7,2.4,0.732,3.3,2.4,1,2,3.8,13,0.532,0.212,3.8,14.8,9.5,9.5,2.4,1.5,14.2
Thaddeus Young,Active,PF,0.5,8.2,9.9,19.8,0.7,2.1,9.2,17.7,2.5,3.7,0.679,2.6,2.4,0.7,2.4,3.7,23,0.537,0.19,7.3,14.8,11,8.6,2.4,1,10.2
Thomas Robinson,Active,PF,0.47,5.5,7.7,16.3,0,0.1,7.7,16.2,3,5.9,0.505,2.3,1.9,1.3,3.8,6.5,18.3,0.484,0.361,14,25.7,19.8,7.2,1.9,2,16.8
Thon Maker,Active,C,0.459,13.4,7.5,16.4,2.5,6.7,5,9.7,2.9,4.4,0.653,2.1,0.9,2.3,1.5,7.6,20.4,0.558,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7
Tiago Splitter,Active,C,0.555,3.4,8,14.5,0,0.1,8,14.4,5,7.2,0.697,3.2,1.5,1.6,2.9,5.1,21.1,0.598,0.496,10,19.5,14.9,9.5,1.5,2.2,14
Tim Duncan,Inactive,C,0.504,8.1,11.5,22.8,0,0.2,11.5,22.6,6.6,9.5,0.696,4.7,1.1,3.4,3.8,3.7,29.7,0.551,0.416,9.7,26.5,18.4,16.4,1.1,4.6,12.3
Tim Frazier,Active,PG,0.403,13,5.5,13.7,1.2,3.8,4.3,9.9,3.2,4.4,0.719,11,1.9,0.2,3.8,4.6,15.4,0.493,0.323,2.8,10.6,6.7,32.7,1.9,0.3,19.4
Tim Hardaway,Active,SG,0.427,16.7,8.6,20.1,3.5,9.9,5.1,10.2,3.5,4.3,0.803,3.3,1.1,0.3,2,3.2,24.1,0.548,0.215,1.2,8.9,5,10.9,1.1,0.6,8.4
